Year From,Year To,Make,Model,Harness Type,Comments,
1997,2003,Acura,CL,8-800,,
2013,2014,Acura,ILX,8-800,,
1996,2001,Acura,Integr,8-800,,
2001,2011,Acura,MDX,8-800,,
1996,2005,Acura,NSX,8-800,,
2007,2014,Acura,RDX,8-800,,
1996,2011,Acura,RL,8-800,,
2002,2006,Acura,RSX,8-800,,
1996,2000,Acura,SLX,8-800,,
1996,2011,Acura,TL,8-800,,
2004,2011,Acura,TSX,8-800,,
2009,2011,Acura,ZDX,8-800,,
2006,2010,Audi,A3,8-800,,
1996,2010,Audi,A4,8-800,,
2008,2010,Audi,A5,8-800,,
1996,2010,Audi,A6,8-800,,
1996,2010,Audi,A8,8-800,,
2001,2005,Audi,Allroa,8-800,,
2009,2011,Audi,Q5,8-800,,
2007,2010,Audi,Q7,8-800,,
2002,2014,Audi,S4,8-800,,
2000,2014,Audi,TT,8-800,,
1996,2002,Autocar,All Models,8-700,,
2003,3013,Autocar,All Models,8-600,,
1996,1998,Bentley,Bentley,8-800,,
2003,2014,Bentley,GT,8-800,,
2003,2005,BlueBird,ALL AMERICAN/ALL CANADIAN SCHOOL BUS,8-600,,
2008,2010,BMW,1 Series (E81/E82/E87/E88),8-800,,
1996,2005,BMW,3 Series,8-800,,
1996,2004,BMW,5 Series,8-800,,
2004,2010,BMW,6 Series,8-800,,
1996,2012,BMW,7 Series,8-800,,
1996,2000,BMW,8 Series,8-800,,
2004,2011,BMW,X3,8-800,,
2000,2011,BMW,X5,8-800,,
2007,2010,BMW,X6,8-800,,
1996,2005,BMW,Z3,8-800,,
2003,2010,BMW,Z4,8-800,,
1996,2005,Buick,Centu,8-800,,
2007,2014,Buick,Enclave,8-800,,
2005,2014,Buick,Lacrosse,8-800,,
1996,2006,Buick,Lasabre,8-800,,
2005,2011,Buick,Lucerne,8-800,,
1996,2005,Buick,Park Avenue,8-800,,
2004,2008,Buick,Rainier,8-800,,
1996,2014,Buick,Regal,8-800,,
2002,2007,Buick,Rendezvous,8-800,,
1996,2000,Buick,Rivier,8-800,,
2004,2007,Buick,Terraz,8-800,,
2011,2014,Buick,Verano,8-800,,
1998,2001,CCC(Crane Carrier Comp),All Models,,,
2002,2014,CCC (Crane Carrier Comp),All Models,,,
1997,2002,Cadillac,Catera,8-800,,
2003,2014,Cadillac,CTS,8-800,,
1996,2006,Cadillac,Deville,8-800,,
2006,2012,Cadillac,DTS,8-800,,
1996,2002,Cadillac,Eldorado,8-800,,
1999,2014,Cadillac,Escalade,8-800,,
1996,2004,Cadillac,Seville,8-800,,
2004,2014,Cadillac,SRX,8-800,,
2005,2012,Cadillac,STS,8-800,,
2004,2009,Cadillac,XLR,8-800,,
2011,2014,CAT (Caterpillar Inc.),CT660,8-600D,,
